tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0091465,short,Mallet-Stevens,Mallet-Stevens,0,2025,\N,7,"Drama,Short",5.7,16
tt0139574,tvMovie,Romantic Undertaking,Romantic Undertaking,0,2025,\N,95,"Comedy,Romance",5,43
tt0155174,movie,Shyamchi Aai,Shyamchi Aai,0,2025,\N,152,Drama,7.5,167
tt0174887,short,People of the Vacant Area,Ludzie z pustego obszaru,0,2025,\N,15,"Documentary,Short",6.3,75
tt0232951,movie,Will,Will,0,2025,\N,80,Drama,6,32
tt0290544,videoGame,Croc: Legend of the Gobbos,Croc: Legend of the Gobbos,0,2025,\N,\N,"Action,Adventure,Family",7.1,328
tt0329649,tvMovie,Svatební cesta do Jiljí,Svatební cesta do Jiljí,0,2025,\N,82,"Comedy,Romance",7.3,225
tt0346172,movie,Zamaanat: And Justice for All,Zamaanat: And Justice for All,0,2025,\N,\N,"Drama,Family,Mystery",3.3,426
tt0476791,movie,Anywhere Anytime,Kabhi Bhi Kahin Bhi,0,2025,\N,\N,"Drama,Romance,Thriller",7.6,25
tt0800175,movie,Red Sonja,Red Sonja,0,2025,\N,110,"Action,Adventure,Drama",4.4,3405
tt0899043,movie,The Amateur,The Amateur,0,2025,\N,122,"Action,Thriller",6.5,76540
tt10059166,tvMiniSeries,Washington Black,Washington Black,0,2025,2025,45,"Adventure,Drama,History",6.4,1713
tt10078772,movie,Flight Risk,Flight Risk,0,2025,\N,91,"Action,Crime,Drama",5.3,34542
tt10080198,movie,A Lion's Game,A Lion's Game,0,2025,\N,91,Crime,7.2,16
tt10133004,movie,Where Is Juan Moctezuma?,Where Is Juan Moctezuma?,0,2025,\N,95,"Comedy,Horror,Mystery",5.8,7
tt10160282,movie,My Heart Remembers,My Heart Remembers,0,2025,\N,\N,Drama,9.6,13
tt10167012,tvSeries,Clean Slate,Clean Slate,0,2025,2025,\N,Comedy,6.6,1217
tt10182646,movie,Psyche,Psyche,0,2025,\N,71,"Fantasy,Horror,Sci-Fi",7.1,26
tt10196414,movie,Cutting Through Rocks,Cutting Through Rocks,0,2025,\N,95,"Biography,Documentary",7.8,85
tt10233658,movie,Sometime the Wolf,Sometime the Wolf,0,2025,\N,92,"Drama,Thriller",9.4,6
tt10241002,movie,Marksheet,Marksheet,0,2025,\N,\N,Drama,3.6,8
tt10278542,movie,Site,Site,0,2025,\N,110,"Horror,Sci-Fi,Thriller",4.2,458
tt10312938,movie,Tales from the Magic Garden,Pohádky po babicce,0,2025,\N,71,"Animation,Comedy,Family",6.6,23
tt10323784,videoGame,Hollow Knight: Silksong,Hollow Knight: Silksong,0,2025,\N,\N,"Action,Adventure,Fantasy",9,300
tt10343438,movie,Pools,Pools,0,2025,\N,99,"Comedy,Drama",7.3,115
tt10348228,tvSeries,I Am Not Mendoza,Yo no soy Mendoza,0,2025,\N,\N,"Comedy,Drama",6.4,219
tt10365912,movie,Becoming Led Zeppelin,Becoming Led Zeppelin,0,2025,\N,122,"Documentary,Music",7.5,6502
tt10380908,movie,Gangstas,Patsers,0,2025,\N,119,"Action,Comedy,Crime",6.3,1240
tt10382450,movie,Treacy and Breen,Treacy and Breen,0,2025,\N,\N,Drama,8,36
tt10400068,movie,Leonora in the Morning Light,Leonora in the Morning Light,0,2025,\N,103,Drama,8.1,492
tt10467002,movie,Face to Face,Face to Face,0,2025,\N,87,Thriller,7.8,124
tt10489780,movie,Bandi,Bandi,0,2025,\N,95,Adventure,7.7,2008
tt10505918,movie,L2: Empuraan,L2: Empuraan,0,2025,\N,179,"Action,Crime,Thriller",6.2,12961
